"GeneID";"Biotype";"Length";"Chromosome";"Location";"Exons";"Organism"
"Gene_000027";"snRNA";25328;3;"841579-854664";16;"Bos taurus"
"Gene_000028";"tRNA";20497;2;"993756-1043208";17;"Sus scrofa"
"Gene_000029";"lncRNA";27734;3;"638409-641144";20;"Sus scrofa"
"Gene_000030";"snRNA";18238;5;"69808-81815";13;"Mus musculus"
"Gene_000031";"lncRNA";30734;4;"371472-396872";9;"Sus scrofa"
"Gene_000032";"rRNA";44642;3;"473824-493543";19;"Sus scrofa"
"Gene_000033";"tRNA";22401;2;"170947-196970";2;"Sus scrofa"
"Gene_000034";"tRNA";4845;4;"510482-551002";20;"Bos taurus"
"Gene_000035";"rRNA";8283;4;"910553-954581";6;"Homo sapiens"
"Gene_000036";"tRNA";31434;1;"785785-831089";14;"Homo sapiens"
"Gene_000037";"snRNA";10140;1;"720665-750458";18;"Bos taurus"
"Gene_000038";"tRNA";4510;5;"27324-73708";1;"Mus musculus"
"Gene_000039";"snRNA";38474;5;"891246-911666";13;"Sus scrofa"
"Gene_000040";"rRNA";22708;4;"965722-1013686";14;"Bos taurus"
"Gene_000041";"lncRNA";38207;5;"774612-805441";2;"Bos taurus"
"Gene_000042";"lncRNA";6350;5;"254396-284117";19;"Mus musculus"
"Gene_000043";"snRNA";5923;1;"3471-20729";18;"Homo sapiens"
"Gene_000044";"rRNA";3340;2;"178159-209365";17;"Mus musculus"
"Gene_000045";"lncRNA";47498;4;"524607-569248";11;"Mus musculus"
"Gene_000046";"tRNA";12233;1;"139720-174093";7;"Mus musculus"
"Gene_000047";"tRNA";19096;4;"700133-749516";2;"Homo sapiens"
"Gene_000048";"protein_coding";49753;2;"5034-15326";5;"Mus musculus"
"Gene_000049";"rRNA";30775;3;"998932-1012627";10;"Sus scrofa"
"Gene_000050";"protein_coding";9773;1;"298166-331716";14;"Bos taurus"
"Gene_000051";"tRNA";35346;2;"571573-588108";15;"Homo sapiens"
"Gene_000052";"protein_coding";22219;5;"983218-989323";14;"Bos taurus"
"Gene_000053";"tRNA";7928;2;"657674-674827";19;"Homo sapiens"
"Gene_000054";"snRNA";15499;4;"461580-467706";17;"Homo sapiens"
"Gene_000055";"lncRNA";1054;5;"376525-377050";16;"Homo sapiens"
"Gene_000056";"lncRNA";9252;5;"954245-992893";3;"Mus musculus"
"Gene_000057";"lncRNA";22197;4;"963391-967560";13;"Sus scrofa"
"Gene_000058";"snRNA";13938;5;"930706-972314";18;"Homo sapiens"
"Gene_000059";"lncRNA";15948;5;"163152-191596";20;"Homo sapiens"
"Gene_000060";"protein_coding";12654;1;"575204-590319";5;"Sus scrofa"
"Gene_000061";"rRNA";11427;5;"144041-160758";2;"Bos taurus"
"Gene_000062";"snRNA";37959;5;"982387-1022124";6;"Bos taurus"
"Gene_000063";"lncRNA";48306;4;"719230-738992";14;"Homo sapiens"
"Gene_000064";"rRNA";31990;1;"167428-183188";2;"Homo sapiens"
"Gene_000065";"lncRNA";13968;5;"386946-403478";5;"Mus musculus"
"Gene_000066";"protein_coding";25380;2;"145265-191809";19;"Bos taurus"
"Gene_000067";"snRNA";30034;2;"390126-390390";6;"Homo sapiens"
"Gene_000068";"lncRNA";30671;1;"515251-520339";10;"Homo sapiens"
"Gene_000069";"tRNA";18505;1;"40187-70990";16;"Homo sapiens"
"Gene_000070";"snRNA";45561;5;"20893-67011";16;"Bos taurus"
"Gene_000071";"tRNA";3682;2;"385592-403682";11;"Bos taurus"
"Gene_000072";"lncRNA";32980;1;"939936-975222";17;"Homo sapiens"
"Gene_000073";"lncRNA";11198;3;"478953-483913";9;"Bos taurus"
"Gene_000074";"rRNA";46844;3;"779953-782600";13;"Sus scrofa"
"Gene_000075";"protein_coding";23952;5;"80768-118354";6;"Mus musculus"
"Gene_000076";"snRNA";40004;4;"145982-158300";3;"Sus scrofa"
"Gene_000077";"protein_coding";13736;3;"580567-602827";1;"Sus scrofa"
"Gene_000078";"rRNA";23947;5;"716318-725750";8;"Sus scrofa"
"Gene_000079";"lncRNA";8999;2;"524534-555588";9;"Mus musculus"
"Gene_000080";"protein_coding";30179;4;"70689-82044";14;"Homo sapiens"
"Gene_000081";"snRNA";35784;4;"86158-111931";20;"Sus scrofa"
"Gene_000082";"tRNA";4549;5;"188406-192469";15;"Sus scrofa"
"Gene_000083";"protein_coding";13197;3;"170849-207253";17;"Sus scrofa"
"Gene_000084";"lncRNA";42662;1;"390773-421180";14;"Sus scrofa"
"Gene_000085";"protein_coding";6939;3;"373541-388823";20;"Mus musculus"
"Gene_000086";"tRNA";1435;5;"292389-337638";10;"Bos taurus"
"Gene_000087";"tRNA";41273;3;"87360-87672";12;"Mus musculus"
"Gene_000088";"snRNA";48611;4;"754289-795468";9;"Bos taurus"
"Gene_000089";"tRNA";6657;4;"204702-236398";17;"Bos taurus"
"Gene_000090";"protein_coding";2989;5;"258200-266554";4;"Sus scrofa"
"Gene_000091";"lncRNA";35481;2;"773576-781024";10;"Sus scrofa"
"Gene_000092";"snRNA";20992;2;"108276-122696";5;"Mus musculus"
"Gene_000093";"protein_coding";17511;1;"388786-390690";5;"Homo sapiens"
"Gene_000094";"snRNA";33009;2;"231075-276700";9;"Sus scrofa"
"Gene_000095";"rRNA";29572;3;"535466-555820";14;"Bos taurus"
"Gene_000096";"rRNA";7533;1;"593936-623149";13;"Homo sapiens"
"Gene_000097";"rRNA";34853;3;"777324-825573";13;"Bos taurus"
"Gene_000098";"lncRNA";6313;1;"368513-411209";9;"Homo sapiens"
"Gene_000099";"snRNA";47050;3;"989984-1011008";12;"Sus scrofa"
"Gene_000100";"protein_coding";5507;4;"505910-535777";19;"Sus scrofa"
"Gene_000101";"rRNA";32199;4;"586089-599203";19;"Mus musculus"
"Gene_000102";"tRNA";36998;3;"399813-404242";15;"Bos taurus"
"Gene_000103";"protein_coding";22564;2;"682409-720915";7;"Homo sapiens"
"Gene_000104";"tRNA";43439;2;"993169-1043114";9;"Homo sapiens"
"Gene_000105";"snRNA";2295;4;"629808-672519";16;"Bos taurus"
"Gene_000106";"snRNA";39666;4;"163385-176305";6;"Mus musculus"
"Gene_000107";"rRNA";23178;5;"341439-357170";17;"Mus musculus"
"Gene_000108";"rRNA";15306;3;"615361-650186";7;"Homo sapiens"
"Gene_000109";"rRNA";6994;2;"891964-918159";4;"Sus scrofa"
"Gene_000110";"lncRNA";30774;4;"875679-879711";18;"Homo sapiens"
"Gene_000111";"lncRNA";7410;3;"874038-887802";6;"Bos taurus"
"Gene_000112";"rRNA";16380;3;"395680-431046";19;"Mus musculus"
"Gene_000113";"tRNA";48144;2;"708161-710374";19;"Homo sapiens"
"Gene_000114";"tRNA";44387;1;"472633-511917";5;"Mus musculus"
"Gene_000115";"tRNA";24336;1;"955327-955445";14;"Sus scrofa"
"Gene_000116";"tRNA";6209;2;"581864-627973";19;"Sus scrofa"
"Gene_000117";"lncRNA";34184;2;"896282-938692";3;"Mus musculus"
"Gene_000118";"rRNA";30030;1;"780775-816130";1;"Mus musculus"
"Gene_000119";"snRNA";13727;2;"93950-105455";16;"Bos taurus"
"Gene_000120";"lncRNA";23476;4;"748213-791397";10;"Mus musculus"
"Gene_000121";"snRNA";43389;4;"497791-543340";14;"Bos taurus"
"Gene_000122";"snRNA";46212;1;"736292-754168";6;"Homo sapiens"
"Gene_000123";"snRNA";13863;5;"640583-649142";18;"Mus musculus"
"Gene_000124";"lncRNA";39846;5;"187086-189299";3;"Mus musculus"
"Gene_000125";"lncRNA";39614;3;"868130-894262";11;"Bos taurus"
"Gene_000126";"tRNA";18352;4;"639196-687024";14;"Mus musculus"
"Gene_000127";"snRNA";13715;5;"253544-253997";2;"Bos taurus"
"Gene_000128";"tRNA";23530;3;"35870-47790";13;"Sus scrofa"
"Gene_000129";"protein_coding";35462;5;"68841-78518";5;"Sus scrofa"
"Gene_000130";"tRNA";22134;2;"383750-417360";7;"Homo sapiens"
"Gene_000131";"lncRNA";25559;2;"874761-924398";2;"Bos taurus"
"Gene_000132";"snRNA";6021;2;"431069-478967";12;"Bos taurus"
"Gene_000133";"protein_coding";12262;1;"502523-516409";17;"Sus scrofa"
"Gene_000134";"protein_coding";49845;5;"583714-618399";6;"Bos taurus"
"Gene_000135";"tRNA";13711;5;"417483-445466";10;"Mus musculus"
"Gene_000136";"tRNA";13636;4;"332749-371944";15;"Mus musculus"
"Gene_000137";"protein_coding";11943;1;"901018-914862";12;"Bos taurus"
"Gene_000138";"snRNA";25783;4;"355209-366154";6;"Mus musculus"
"Gene_000139";"tRNA";31522;5;"684731-729417";9;"Bos taurus"
"Gene_000140";"lncRNA";23391;5;"630469-672800";20;"Bos taurus"
"Gene_000141";"protein_coding";28550;2;"887708-915183";4;"Bos taurus"
"Gene_000142";"lncRNA";29739;3;"560413-600945";13;"Bos taurus"
"Gene_000143";"lncRNA";16701;2;"338992-383869";1;"Homo sapiens"
"Gene_000144";"lncRNA";41946;5;"524656-542751";12;"Sus scrofa"
"Gene_000145";"snRNA";19729;2;"823350-865003";9;"Mus musculus"
"Gene_000146";"tRNA";45791;1;"37660-55622";12;"Bos taurus"
"Gene_000147";"rRNA";25160;1;"45728-65884";15;"Homo sapiens"
"Gene_000148";"lncRNA";17241;3;"993553-1003417";16;"Mus musculus"
"Gene_000149";"rRNA";26968;3;"675306-719679";11;"Bos taurus"
"Gene_000150";"protein_coding";2897;3;"177072-206877";19;"Sus scrofa"
"Gene_000151";"rRNA";19595;3;"366237-405392";19;"Sus scrofa"
"Gene_000152";"rRNA";44933;3;"734535-772591";9;"Bos taurus"
"Gene_000153";"rRNA";20659;3;"758025-798345";7;"Homo sapiens"
"Gene_000154";"tRNA";2881;3;"516808-544692";15;"Bos taurus"
"Gene_000155";"protein_coding";28217;5;"747026-774809";14;"Bos taurus"
"Gene_000156";"snRNA";32632;1;"174815-213765";6;"Mus musculus"
"Gene_000157";"rRNA";39214;2;"778772-802182";17;"Homo sapiens"
"Gene_000158";"lncRNA";9358;3;"268963-279444";7;"Mus musculus"
"Gene_000159";"rRNA";3969;2;"299125-315600";11;"Mus musculus"
"Gene_000160";"tRNA";28166;1;"799116-801510";12;"Homo sapiens"
"Gene_000161";"protein_coding";1727;2;"56093-82146";16;"Sus scrofa"
"Gene_000162";"rRNA";36766;5;"778891-779991";11;"Homo sapiens"
"Gene_000163";"lncRNA";37622;1;"540822-552272";18;"Bos taurus"
"Gene_000164";"protein_coding";17622;4;"637162-647452";8;"Bos taurus"
"Gene_000165";"tRNA";34825;2;"813532-851863";2;"Bos taurus"
"Gene_000166";"snRNA";24215;4;"395027-443733";6;"Bos taurus"
"Gene_000167";"rRNA";22530;3;"777602-821730";5;"Bos taurus"
"Gene_000168";"lncRNA";13702;3;"726380-751704";7;"Mus musculus"
"Gene_000169";"protein_coding";39635;5;"417350-432136";6;"Mus musculus"
"Gene_000170";"rRNA";7831;3;"28056-55125";10;"Bos taurus"
"Gene_000171";"rRNA";23255;5;"580832-620969";19;"Bos taurus"
"Gene_000172";"snRNA";26604;1;"984890-1000023";6;"Bos taurus"
"Gene_000173";"snRNA";2591;4;"824879-872619";8;"Bos taurus"
"Gene_000174";"snRNA";27351;3;"196525-214606";16;"Mus musculus"
"Gene_000175";"protein_coding";11441;2;"298463-340056";17;"Bos taurus"
"Gene_000176";"snRNA";11004;4;"838904-865442";13;"Sus scrofa"
"Gene_000177";"tRNA";48762;5;"274902-323720";16;"Mus musculus"
"Gene_000178";"lncRNA";21888;5;"557899-561145";19;"Mus musculus"
"Gene_000179";"rRNA";29359;1;"636357-658478";8;"Homo sapiens"
"Gene_000180";"protein_coding";11906;5;"145643-175847";17;"Sus scrofa"
"Gene_000181";"rRNA";36093;4;"993920-1026422";7;"Mus musculus"
"Gene_000182";"rRNA";35769;4;"904465-917049";20;"Homo sapiens"
"Gene_000183";"snRNA";16744;2;"51860-101707";1;"Homo sapiens"
"Gene_000184";"lncRNA";5432;1;"275139-283810";5;"Bos taurus"
"Gene_000185";"lncRNA";47444;4;"365068-407136";12;"Homo sapiens"
"Gene_000186";"snRNA";15159;2;"191314-198350";14;"Sus scrofa"
"Gene_000187";"lncRNA";5471;2;"442749-445774";5;"Mus musculus"
"Gene_000188";"rRNA";30735;2;"276803-288728";1;"Mus musculus"
"Gene_000189";"lncRNA";34388;2;"659711-684017";5;"Homo sapiens"
"Gene_000190";"rRNA";33795;2;"807548-836184";13;"Mus musculus"
"Gene_000191";"rRNA";49033;3;"170006-206064";17;"Mus musculus"
"Gene_000192";"lncRNA";17182;3;"574096-593675";11;"Sus scrofa"
"Gene_000193";"lncRNA";5096;3;"818440-853708";12;"Mus musculus"
"Gene_000194";"lncRNA";1280;2;"343554-350682";12;"Bos taurus"
"Gene_000195";"tRNA";8284;2;"917307-925143";1;"Bos taurus"
"Gene_000196";"rRNA";47902;1;"457918-478817";15;"Homo sapiens"
"Gene_000197";"snRNA";19173;4;"179474-208974";3;"Bos taurus"
"Gene_000198";"snRNA";16333;2;"750562-800526";7;"Homo sapiens"
"Gene_000199";"rRNA";27106;3;"803692-806504";2;"Homo sapiens"
"Gene_000200";"tRNA";19495;4;"377574-423603";13;"Sus scrofa"
"Gene_000201";"snRNA";49743;3;"663788-690586";6;"Homo sapiens"
"Gene_000202";"snRNA";33384;5;"672608-722373";6;"Homo sapiens"
"Gene_000203";"protein_coding";17273;1;"568385-607933";19;"Mus musculus"
"Gene_000204";"lncRNA";6626;5;"257833-289327";20;"Homo sapiens"
"Gene_000205";"protein_coding";30106;2;"309837-312452";11;"Homo sapiens"
"Gene_000206";"lncRNA";3405;3;"690320-699623";9;"Mus musculus"
"Gene_000207";"lncRNA";20722;5;"92839-117999";19;"Sus scrofa"
"Gene_000208";"rRNA";26079;1;"224706-249461";7;"Mus musculus"
"Gene_000209";"lncRNA";24356;5;"455427-493316";12;"Homo sapiens"
"Gene_000210";"snRNA";3099;3;"58210-100647";1;"Mus musculus"
"Gene_000211";"rRNA";7474;3;"916599-964715";14;"Homo sapiens"
"Gene_000212";"protein_coding";27642;5;"285029-293115";8;"Bos taurus"
"Gene_000213";"lncRNA";5316;3;"125076-137272";12;"Mus musculus"
"Gene_000214";"protein_coding";29691;5;"598210-610052";13;"Bos taurus"
"Gene_000215";"protein_coding";2637;2;"21485-63850";5;"Mus musculus"
"Gene_000216";"rRNA";33756;4;"13155-14137";9;"Bos taurus"
"Gene_000217";"tRNA";49295;5;"349624-381264";13;"Homo sapiens"
"Gene_000218";"snRNA";49111;1;"954301-983816";9;"Sus scrofa"
"Gene_000219";"tRNA";31847;2;"675422-678446";15;"Homo sapiens"
"Gene_000220";"snRNA";5834;3;"524143-529322";4;"Homo sapiens"
"Gene_000221";"snRNA";44905;1;"164268-164617";2;"Bos taurus"
"Gene_000222";"tRNA";19079;1;"707769-735434";5;"Sus scrofa"
"Gene_000223";"snRNA";42288;5;"870120-896758";10;"Bos taurus"
"Gene_000224";"rRNA";14458;1;"740450-741574";2;"Bos taurus"
"Gene_000225";"rRNA";35784;4;"332037-379763";14;"Sus scrofa"
"Gene_000226";"tRNA";46121;1;"282387-323832";17;"Homo sapiens"
"Gene_000227";"rRNA";11884;4;"638978-648421";11;"Mus musculus"
"Gene_000228";"snRNA";28185;1;"210280-255428";3;"Homo sapiens"
"Gene_000229";"tRNA";25543;3;"691575-698791";11;"Bos taurus"
"Gene_000230";"snRNA";33465;1;"844619-875829";8;"Homo sapiens"
"Gene_000231";"tRNA";13097;2;"491601-513800";10;"Homo sapiens"
"Gene_000232";"lncRNA";18561;4;"941537-983301";5;"Bos taurus"
"Gene_000233";"rRNA";40974;3;"941210-942806";15;"Homo sapiens"
"Gene_000234";"lncRNA";13836;1;"495401-498212";17;"Mus musculus"
"Gene_000235";"rRNA";9653;2;"836755-854989";1;"Mus musculus"
"Gene_000236";"rRNA";47317;5;"78026-83462";16;"Sus scrofa"
"Gene_000237";"rRNA";147;5;"876029-892833";15;"Bos taurus"
"Gene_000238";"lncRNA";48760;3;"97179-134290";20;"Bos taurus"
"Gene_000239";"snRNA";25604;1;"860897-900950";20;"Homo sapiens"
"Gene_000240";"lncRNA";21239;2;"69305-87418";2;"Mus musculus"
"Gene_000241";"lncRNA";12347;4;"21725-54013";16;"Mus musculus"
"Gene_000242";"protein_coding";22940;5;"164062-183263";16;"Mus musculus"
"Gene_000243";"protein_coding";11483;4;"316329-328479";9;"Sus scrofa"
"Gene_000244";"lncRNA";16468;2;"889270-893522";18;"Sus scrofa"
"Gene_000245";"protein_coding";7360;4;"175282-195621";20;"Bos taurus"
"Gene_000246";"snRNA";47407;5;"170461-197764";9;"Sus scrofa"
"Gene_000247";"lncRNA";14962;3;"532960-565572";16;"Bos taurus"
"Gene_000248";"tRNA";28843;5;"115851-151955";1;"Sus scrofa"
"Gene_000249";"lncRNA";46570;5;"142798-147395";6;"Homo sapiens"
"Gene_000250";"rRNA";20068;2;"793594-813425";3;"Homo sapiens"
"Gene_000251";"rRNA";15778;2;"40539-48978";9;"Sus scrofa"
"Gene_000252";"lncRNA";328;1;"326453-363150";10;"Sus scrofa"
"Gene_000253";"snRNA";29551;5;"612201-628954";1;"Sus scrofa"
"Gene_000254";"protein_coding";14403;3;"534241-562030";5;"Mus musculus"
"Gene_000255";"protein_coding";24437;5;"427103-460628";5;"Homo sapiens"
"Gene_000256";"lncRNA";668;1;"962720-984477";11;"Sus scrofa"
"Gene_000257";"snRNA";33842;3;"654475-658103";19;"Sus scrofa"
"Gene_000258";"lncRNA";6443;1;"161158-168746";10;"Homo sapiens"
"Gene_000259";"snRNA";31360;3;"222695-265287";10;"Bos taurus"
"Gene_000260";"lncRNA";2547;2;"629984-678283";2;"Homo sapiens"
"Gene_000261";"protein_coding";43083;1;"899835-924797";5;"Homo sapiens"
"Gene_000262";"lncRNA";36271;3;"92264-127850";8;"Mus musculus"
"Gene_000263";"protein_coding";47661;4;"360372-370941";1;"Sus scrofa"
"Gene_000264";"protein_coding";2544;3;"603369-630468";8;"Mus musculus"
"Gene_000265";"lncRNA";25472;2;"132098-168146";7;"Homo sapiens"
"Gene_000266";"snRNA";14195;4;"365220-412985";16;"Bos taurus"
"Gene_000267";"lncRNA";19944;4;"228995-253773";7;"Homo sapiens"
"Gene_000268";"protein_coding";8359;1;"573562-612275";3;"Bos taurus"
"Gene_000269";"protein_coding";31808;5;"737596-745281";8;"Mus musculus"
"Gene_000270";"protein_coding";16801;2;"380396-392215";15;"Homo sapiens"
"Gene_000271";"protein_coding";34566;3;"403223-431237";7;"Mus musculus"
"Gene_000272";"lncRNA";37687;5;"19646-49943";11;"Homo sapiens"
"Gene_000273";"rRNA";11950;1;"668509-681622";1;"Homo sapiens"
"Gene_000274";"protein_coding";32016;5;"481172-515945";6;"Mus musculus"
"Gene_000275";"snRNA";42740;1;"504683-515993";10;"Bos taurus"
"Gene_000276";"rRNA";9075;5;"81459-100543";5;"Homo sapiens"
"Gene_000277";"lncRNA";8780;3;"4513-8280";7;"Mus musculus"
"Gene_000278";"tRNA";45133;5;"558036-594553";7;"Homo sapiens"
"Gene_000279";"protein_coding";24181;5;"654688-670099";7;"Mus musculus"
"Gene_000280";"tRNA";40184;3;"63304-110627";1;"Bos taurus"
"Gene_000281";"tRNA";25115;1;"778880-797593";9;"Bos taurus"
"Gene_000282";"lncRNA";6786;2;"172836-207794";20;"Mus musculus"
"Gene_000283";"rRNA";26163;5;"703843-705406";3;"Sus scrofa"
"Gene_000284";"snRNA";3414;5;"940131-962050";5;"Homo sapiens"
"Gene_000285";"protein_coding";3815;3;"803152-822060";20;"Bos taurus"
"Gene_000286";"protein_coding";13512;5;"821225-822869";9;"Mus musculus"
"Gene_000287";"lncRNA";23369;4;"412720-446470";18;"Homo sapiens"
"Gene_000288";"lncRNA";44909;3;"998159-1005355";6;"Mus musculus"
"Gene_000289";"lncRNA";45490;5;"599694-645747";20;"Mus musculus"
"Gene_000290";"lncRNA";36823;5;"17106-21608";4;"Homo sapiens"
"Gene_000291";"rRNA";4697;4;"203983-216244";15;"Bos taurus"
"Gene_000292";"tRNA";49474;3;"644000-686115";9;"Sus scrofa"
"Gene_000293";"protein_coding";49475;4;"772092-816522";14;"Sus scrofa"
"Gene_000294";"protein_coding";24489;1;"59651-74373";1;"Sus scrofa"
"Gene_000295";"protein_coding";25365;3;"640828-652026";6;"Homo sapiens"
"Gene_000296";"protein_coding";42293;3;"794029-825640";16;"Sus scrofa"
"Gene_000297";"rRNA";1736;2;"806339-823257";6;"Sus scrofa"
"Gene_000298";"rRNA";44756;4;"693475-722221";20;"Homo sapiens"
"Gene_000299";"snRNA";27601;1;"701876-745688";17;"Sus scrofa"
"Gene_000300";"protein_coding";42316;2;"459654-501206";19;"Sus scrofa"
"Gene_000301";"tRNA";6180;2;"842556-892393";13;"Sus scrofa"
"Gene_000302";"protein_coding";45952;5;"478161-486719";9;"Mus musculus"
"Gene_000303";"protein_coding";36913;4;"679416-705258";2;"Homo sapiens"
"Gene_000304";"tRNA";36423;5;"747767-778162";12;"Homo sapiens"
"Gene_000305";"rRNA";13493;1;"527595-574105";9;"Homo sapiens"
"Gene_000306";"lncRNA";18728;1;"129113-144671";1;"Bos taurus"
"Gene_000307";"protein_coding";35904;4;"813829-852790";18;"Mus musculus"
"Gene_000308";"tRNA";9421;4;"172954-208091";14;"Mus musculus"
"Gene_000309";"snRNA";17991;4;"798459-839350";13;"Homo sapiens"
"Gene_000310";"rRNA";35150;3;"579968-599282";17;"Homo sapiens"
"Gene_000311";"tRNA";18078;4;"820793-836362";16;"Mus musculus"
"Gene_000312";"protein_coding";28001;1;"256537-283635";9;"Homo sapiens"
"Gene_000313";"lncRNA";48485;2;"285367-328349";15;"Sus scrofa"
"Gene_000314";"rRNA";5550;1;"298444-327008";10;"Mus musculus"
"Gene_000315";"rRNA";13205;1;"459024-494610";11;"Mus musculus"
"Gene_000316";"tRNA";34161;5;"239008-272238";10;"Bos taurus"
"Gene_000317";"snRNA";4985;4;"905928-932173";12;"Mus musculus"
"Gene_000318";"protein_coding";19851;2;"278553-319749";5;"Homo sapiens"
"Gene_000319";"protein_coding";19289;5;"265179-273319";7;"Sus scrofa"
"Gene_000320";"tRNA";761;3;"20603-53968";7;"Sus scrofa"
"Gene_000321";"tRNA";9690;3;"433266-452302";4;"Homo sapiens"
"Gene_000322";"rRNA";2087;3;"54838-62796";7;"Mus musculus"
"Gene_000323";"snRNA";4030;2;"294480-337796";16;"Homo sapiens"
"Gene_000324";"lncRNA";27519;4;"890152-913694";19;"Bos taurus"
"Gene_000325";"protein_coding";2966;4;"386741-425598";7;"Homo sapiens"
"Gene_000326";"tRNA";35038;4;"826204-842645";6;"Mus musculus"
"Gene_000327";"tRNA";49623;1;"424517-442788";12;"Bos taurus"
"Gene_000328";"rRNA";12871;1;"219511-256940";18;"Homo sapiens"
"Gene_000329";"snRNA";40143;2;"714958-738617";20;"Mus musculus"
"Gene_000330";"rRNA";46673;3;"725596-741363";18;"Homo sapiens"
"Gene_000331";"tRNA";13926;5;"633853-647148";18;"Mus musculus"
"Gene_000332";"rRNA";39366;5;"505780-518222";17;"Sus scrofa"
"Gene_000333";"rRNA";40501;5;"166392-199867";6;"Mus musculus"
"Gene_000334";"snRNA";35288;4;"967276-986106";20;"Mus musculus"
"Gene_000335";"rRNA";13896;5;"834302-864478";10;"Sus scrofa"
"Gene_000336";"lncRNA";43753;4;"406257-426665";10;"Homo sapiens"
"Gene_000337";"rRNA";3230;3;"598360-631158";2;"Homo sapiens"
"Gene_000338";"snRNA";28724;1;"409245-447122";15;"Homo sapiens"
"Gene_000339";"protein_coding";41116;5;"250726-287203";8;"Mus musculus"
"Gene_000340";"protein_coding";34065;4;"639420-643671";11;"Bos taurus"
"Gene_000341";"protein_coding";15407;1;"919613-963372";18;"Mus musculus"
"Gene_000342";"rRNA";24758;4;"204963-252513";16;"Mus musculus"
"Gene_000343";"protein_coding";18156;4;"853662-893643";12;"Bos taurus"
"Gene_000344";"snRNA";36049;4;"41300-84400";8;"Mus musculus"
"Gene_000345";"rRNA";46882;3;"622170-666046";12;"Bos taurus"
"Gene_000346";"tRNA";21481;1;"503230-509508";18;"Bos taurus"
"Gene_000347";"protein_coding";13899;5;"139900-165602";12;"Sus scrofa"
"Gene_000348";"snRNA";13069;4;"479395-512146";2;"Sus scrofa"
"Gene_000349";"protein_coding";12657;1;"497485-500225";19;"Homo sapiens"
"Gene_000350";"protein_coding";26271;4;"925301-957135";19;"Mus musculus"
"Gene_000351";"snRNA";39006;2;"671394-700476";14;"Bos taurus"
"Gene_000352";"protein_coding";4332;3;"300202-329152";19;"Sus scrofa"
"Gene_000353";"lncRNA";15993;2;"924206-929173";10;"Bos taurus"
"Gene_000354";"snRNA";47243;1;"997548-1002618";1;"Sus scrofa"
"Gene_000355";"rRNA";16887;1;"284937-324049";18;"Sus scrofa"
"Gene_000356";"lncRNA";29879;4;"773668-779962";6;"Homo sapiens"
"Gene_000357";"tRNA";10571;1;"563068-604185";10;"Mus musculus"
"Gene_000358";"rRNA";43046;3;"476603-488482";13;"Sus scrofa"
"Gene_000359";"tRNA";24837;3;"241076-247612";7;"Homo sapiens"
"Gene_000360";"snRNA";38598;3;"866100-913609";20;"Mus musculus"
"Gene_000361";"tRNA";18912;3;"277943-310206";4;"Mus musculus"
"Gene_000362";"snRNA";36352;5;"298642-341180";15;"Homo sapiens"
"Gene_000363";"tRNA";35085;3;"621538-629715";15;"Bos taurus"
"Gene_000364";"protein_coding";36390;1;"588451-616010";18;"Sus scrofa"
"Gene_000365";"rRNA";20891;2;"689189-737004";8;"Sus scrofa"
"Gene_000366";"snRNA";27072;2;"691180-736343";1;"Mus musculus"
"Gene_000367";"lncRNA";29297;4;"609257-645823";4;"Homo sapiens"
