# blastp
# Iteration: 0
# Query: NP_001275068.1 hemoglobin [Solanum tuberosum]
# RID: jpj781016
# Database: refseq_select_prot
query_accesson	subject_accessionr	percent_identity	alignment_length	mismatches	gap_opens	q_start	q_end	s_start	s_end	evalue	bit_score	percent_positives
JPJ_001275068.1	WP_124145965.1	29.851	134	80	4	11	144	187	306	1.12e-07	59.3	50.75
JPJ_001275068.1	WP_136917638.1	27.586	145	90	2	4	148	1	130	1.17e-07	58.2	46.90
JPJ_001275068.1	WP_015165879.1	28.889	135	82	3	11	145	7	127	1.25e-07	57.0	49.63
JPJ_001275068.1	WP_215608197.1	32.308	130	74	4	11	140	7	122	1.25e-07	58.9	51.54
JPJ_001275068.1	WP_215608197.1	30.631	111	63	3	30	140	182	278	1.11e-04	50.4	46.85
JPJ_001275068.1	WP_022608375.1	29.323	133	80	2	8	140	14	132	1.42e-07	57.0	44.36
JPJ_001275068.1	WP_238364209.1	30.000	120	67	3	30	148	27	130	1.50e-07	56.6	49.17
JPJ_001275068.1	WP_263734066.1	23.973	146	97	3	3	148	2	133	1.70e-07	56.6	47.26
JPJ_001275068.1	WP_394021656.1	27.737	137	84	3	4	140	1	122	1.70e-07	56.6	45.26
JPJ_001275068.1	WP_204999471.1	26.712	146	86	4	5	147	2	129	1.73e-07	56.2	47.95
JPJ_001275068.1	WP_219486720.1	27.660	141	87	2	7	147	4	129	1.77e-07	56.6	46.10
JPJ_001275068.1	WP_262309302.1	27.333	150	92	3	3	152	19	151	1.77e-07	56.6	45.33
JPJ_001275068.1	WP_016957239.1	29.801	151	88	3	4	152	1	135	1.92e-07	56.6	47.68
JPJ_001275068.1	WP_390277655.1	25.342	146	93	3	5	150	2	131	1.98e-07	56.2	45.89
JPJ_001275068.1	WP_193993782.1	31.538	130	75	3	11	140	7	122	2.18e-07	58.2	47.69
JPJ_001275068.1	WP_193993782.1	29.231	130	78	3	11	140	156	271	1.09e-04	50.4	46.15
JPJ_001275068.1	WP_179355989.1	26.490	151	94	4	3	152	2	136	2.44e-07	56.2	47.02
JPJ_001275068.1	WP_193369900.1	26.897	145	92	2	4	148	1	131	2.56e-07	56.2	44.83
JPJ_001275068.1	WP_146576467.1	27.007	137	85	2	4	140	1	122	2.58e-07	55.8	45.99
JPJ_001275068.1	WP_115693526.1	26.389	144	91	3	4	147	1	129	2.74e-07	56.2	45.14
JPJ_001275068.1	WP_193905244.1	33.846	130	72	3	11	140	7	122	3.08e-07	55.8	46.92
JPJ_001275068.1	WP_161862793.1	28.467	137	83	3	4	140	2	123	3.62e-07	55.8	48.18
JPJ_001275068.1	WP_201069095.1	26.119	134	84	2	10	143	7	125	3.72e-07	55.5	42.54
JPJ_001275068.1	WP_461100297.1	28.671	143	87	5	4	145	1	129	3.89e-07	55.5	46.85
JPJ_001275068.1	WP_342823984.1	24.490	147	96	2	1	147	1	132	4.00e-07	55.5	44.22
JPJ_001275068.1	WP_283754267.1	30.000	130	77	4	11	140	7	122	4.11e-07	55.5	51.54
JPJ_001275068.1	WP_375161333.1	27.211	147	92	3	4	150	1	132	4.12e-07	55.5	45.58
JPJ_001275068.1	WP_085314534.1	28.986	138	82	4	4	140	1	123	4.35e-07	55.5	44.20
JPJ_001275068.1	WP_144866489.1	29.323	133	80	3	8	140	158	276	4.75e-07	57.4	48.87
JPJ_001275068.1	WP_144866489.1	30.827	133	78	4	8	140	4	122	6.81e-06	53.9	49.62
JPJ_001275068.1	WP_305787346.1	27.068	133	82	3	11	143	7	124	5.79e-07	57.0	47.37
JPJ_001275068.1	WP_020175176.1	28.814	118	69	2	23	140	20	122	6.02e-07	55.5	49.15
JPJ_001275068.1	WP_012160909.1	27.820	133	82	4	8	140	4	122	6.48e-07	55.1	48.87
JPJ_001275068.1	WP_276504620.1	26.531	147	87	5	4	147	1	129	6.61e-07	55.1	44.90
JPJ_001275068.1	WP_335343008.1	30.435	138	79	4	4	140	2	123	6.68e-07	54.7	47.10
JPJ_001275068.1	WP_283764296.1	28.889	135	82	4	11	145	7	127	7.77e-07	54.7	49.63
JPJ_001275068.1	WP_205944632.1	28.000	150	78	4	1	143	1	127	7.99e-07	54.7	46.00
JPJ_001275068.1	WP_264137098.1	26.891	119	72	2	30	148	42	145	8.06e-07	55.1	44.54
JPJ_001275068.1	WP_245894217.1	27.068	133	77	4	11	140	5	120	8.23e-07	54.7	51.13
JPJ_001275068.1	WP_116685557.1	24.828	145	94	2	4	148	1	130	9.22e-07	54.3	44.83
JPJ_001275068.1	WP_193994925.1	28.058	139	86	4	11	149	7	131	1.13e-06	54.3	47.48
JPJ_001275068.1	WP_433283130.1	23.358	137	90	2	11	147	4	125	1.13e-06	56.2	47.45
JPJ_001275068.1	WP_146414500.1	27.692	130	79	2	11	140	8	122	1.16e-06	54.3	46.15
JPJ_001275068.1	WP_407184547.1	27.211	147	92	3	4	150	1	132	1.27e-06	54.3	44.90
JPJ_001275068.1	WP_145296624.1	27.007	137	85	2	4	140	1	122	1.33e-06	53.9	45.26
JPJ_001275068.1	WP_147867178.1	27.007	137	85	2	4	140	1	122	1.35e-06	54.3	45.99
JPJ_001275068.1	WP_182866936.1	27.007	137	85	2	4	140	1	122	1.40e-06	54.3	45.26
JPJ_001275068.1	WP_275763377.1	25.694	144	92	2	5	148	2	130	1.43e-06	54.3	45.14
JPJ_001275068.1	WP_189079839.1	28.462	130	78	2	11	140	7	121	1.49e-06	55.8	46.92
JPJ_001275068.1	WP_012164710.1	28.472	144	85	3	8	151	154	279	1.55e-06	55.8	45.14
JPJ_001275068.1	WP_012164710.1	25.694	144	89	3	8	151	4	129	0.001	47.4	43.75
JPJ_001275068.1	WP_150079003.1	26.277	137	86	2	4	140	1	122	1.56e-06	53.9	47.45
JPJ_001275068.1	WP_413274184.1	27.407	135	84	4	11	145	7	127	1.58e-06	53.9	49.63
JPJ_001275068.1	WP_015164575.1	31.538	130	75	5	11	140	7	122	1.59e-06	55.1	51.54
JPJ_001275068.1	WP_163698784.1	30.769	130	76	4	11	140	7	122	1.78e-06	55.8	51.54
JPJ_001275068.1	WP_163698784.1	30.631	111	63	3	30	140	175	271	2.48e-04	49.7	47.75
JPJ_001275068.1	WP_252853711.1	26.897	145	91	3	4	148	1	130	1.79e-06	53.5	46.90
JPJ_001275068.1	WP_228105218.1	30.657	137	83	3	4	140	2	126	1.80e-06	53.9	47.45
JPJ_001275068.1	WP_197529164.1	26.891	119	72	2	30	148	19	122	1.84e-06	53.5	47.90
JPJ_001275068.1	WP_128924421.1	26.531	147	93	3	4	150	1	132	1.87e-06	53.9	44.90


