Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
globin family protein [Chitinilyticum piscinae],Chitinilyticum piscinae,NA,2866724,58.9,58.9,96%,2e-08,29.25,139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_194116495.1?report=genbank&log$=prottop&blast_rank=24&RID=V5JEEYS7016"",""WP_194116495.1"")"
MULTISPECIES: globin family protein [Nostocales],Nostocales,NA,1161,58.5,58.5,89%,2e-08,28.89,138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_038090244.1?report=genbank&log$=prottop&blast_rank=25&RID=V5JEEYS7016"",""WP_038090244.1"")"
globin family protein [Albimonas pacifica],Albimonas pacifica,NA,1114924,58.9,58.9,95%,2e-08,26.90,153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_092860000.1?report=genbank&log$=prottop&blast_rank=26&RID=V5JEEYS7016"",""WP_092860000.1"")"
adenylate/guanylate cyclase domain-containing protein [Robiginitalea aestuariiviva],Robiginitalea aestuariiviva,NA,3036903,61.2,61.2,79%,2e-08,30.83,441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_277707445.1?report=genbank&log$=prottop&blast_rank=27&RID=V5JEEYS7016"",""WP_277707445.1"")"
globin family protein [Floridanema flaviceps],Floridanema flaviceps,NA,3396170,58.5,58.5,89%,3e-08,28.89,138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_413262481.1?report=genbank&log$=prottop&blast_rank=28&RID=V5JEEYS7016"",""WP_413262481.1"")"
globin domain-containing protein [Lacibacter luteus],Lacibacter luteus,NA,2508719,58.5,58.5,90%,3e-08,27.54,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_129131827.1?report=genbank&log$=prottop&blast_rank=29&RID=V5JEEYS7016"",""WP_129131827.1"")"
globin family protein [Shewanella jiangmenensis],Shewanella jiangmenensis,NA,2837387,58.5,58.5,99%,3e-08,26.67,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_214507410.1?report=genbank&log$=prottop&blast_rank=30&RID=V5JEEYS7016"",""WP_214507410.1"")"
globin family protein [Echinicola jeungdonensis],Echinicola jeungdonensis,NA,709343,58.5,58.5,99%,3e-08,27.15,150,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_290247534.1?report=genbank&log$=prottop&blast_rank=31&RID=V5JEEYS7016"",""WP_290247534.1"")"
globin domain-containing protein [Salipiger mucosus],Salipiger mucosus,NA,263378,58.2,58.2,89%,4e-08,29.41,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_020040424.1?report=genbank&log$=prottop&blast_rank=32&RID=V5JEEYS7016"",""WP_020040424.1"")"
globin family protein [Leptolyngbya iicbica],Leptolyngbya iicbica,NA,3161580,60.5,115,89%,4e-08,34.56,332,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_039724586.1?report=genbank&log$=prottop&blast_rank=33&RID=V5JEEYS7016"",""WP_039724586.1"")"
FAD-binding oxidoreductase [Pseudonocardia adelaidensis],Pseudonocardia adelaidensis,NA,648754,60.5,60.5,91%,4e-08,25.00,391,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_345606169.1?report=genbank&log$=prottop&blast_rank=34&RID=V5JEEYS7016"",""WP_345606169.1"")"
globin family protein [Chitinirhabdus sediminis],Chitinirhabdus sediminis,NA,3456123,58.2,58.2,97%,5e-08,28.19,144,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_462481457.1?report=genbank&log$=prottop&blast_rank=35&RID=V5JEEYS7016"",""WP_462481457.1"")"
globin family protein [Emticicia fontis],Emticicia fontis,NA,392565,57.8,57.8,93%,5e-08,32.39,140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_460470542.1?report=genbank&log$=prottop&blast_rank=36&RID=V5JEEYS7016"",""WP_460470542.1"")"
MULTISPECIES: globin family protein [Aquimarina],Aquimarina,NA,290174,57.8,57.8,79%,6e-08,29.17,142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_066311287.1?report=genbank&log$=prottop&blast_rank=37&RID=V5JEEYS7016"",""WP_066311287.1"")"
globin family protein [Gemmatirosa kalamazoonensis],Gemmatirosa kalamazoonensis,NA,861299,57.4,57.4,91%,8e-08,26.62,138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_025410451.1?report=genbank&log$=prottop&blast_rank=38&RID=V5JEEYS7016"",""WP_025410451.1"")"
FAD-binding oxidoreductase [Actinomycetospora rhizophila],Actinomycetospora rhizophila,NA,1416876,59.7,59.7,93%,8e-08,28.87,564,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_378019975.1?report=genbank&log$=prottop&blast_rank=39&RID=V5JEEYS7016"",""WP_378019975.1"")"
adenylate/guanylate cyclase domain-containing protein [Aureitalea marina],Aureitalea marina,NA,930804,59.7,59.7,91%,8e-08,31.65,444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_104813816.1?report=genbank&log$=prottop&blast_rank=40&RID=V5JEEYS7016"",""WP_104813816.1"")"
globin domain-containing protein [Rhabdochromatium marinum],Rhabdochromatium marinum,NA,48729,57.0,57.0,93%,8e-08,24.11,135,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_200282162.1?report=genbank&log$=prottop&blast_rank=41&RID=V5JEEYS7016"",""WP_200282162.1"")"
globin family protein [Spirosoma fluminis],Spirosoma fluminis,NA,1837378,57.4,57.4,78%,9e-08,30.25,143,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_460984960.1?report=genbank&log$=prottop&blast_rank=42&RID=V5JEEYS7016"",""WP_460984960.1"")"
globin domain-containing protein [Spirosoma areae],Spirosoma areae,NA,1806202,57.0,57.0,93%,9e-08,26.76,135,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_460905770.1?report=genbank&log$=prottop&blast_rank=43&RID=V5JEEYS7016"",""WP_460905770.1"")"
globin family protein [Paraflavitalea soli],Paraflavitalea soli,NA,2315862,57.4,57.4,80%,9e-08,29.75,144,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_119050538.1?report=genbank&log$=prottop&blast_rank=44&RID=V5JEEYS7016"",""WP_119050538.1"")"
globin family protein [Sulfurimicrobium lacus],Sulfurimicrobium lacus,NA,2715678,57.0,57.0,95%,1e-07,26.21,137,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_173065679.1?report=genbank&log$=prottop&blast_rank=45&RID=V5JEEYS7016"",""WP_173065679.1"")"
MULTISPECIES: globin family protein [Okeania],Okeania,NA,1458928,59.3,59.3,88%,1e-07,29.85,340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_124145965.1?report=genbank&log$=prottop&blast_rank=46&RID=V5JEEYS7016"",""WP_124145965.1"")"
globin family protein [Polyangium aurulentum],Polyangium aurulentum,NA,2567896,58.2,58.2,95%,1e-07,27.59,213,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_136917638.1?report=genbank&log$=prottop&blast_rank=47&RID=V5JEEYS7016"",""WP_136917638.1"")"
globin family protein [Thalassoporum mexicanum],Thalassoporum mexicanum,NA,3457544,57.0,57.0,89%,1e-07,28.89,147,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_015165879.1?report=genbank&log$=prottop&blast_rank=48&RID=V5JEEYS7016"",""WP_015165879.1"")"
globin family protein [Leptothoe spongobia],Leptothoe spongobia,NA,2651728,58.9,109,86%,1e-07,32.31,335,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_215608197.1?report=genbank&log$=prottop&blast_rank=49&RID=V5JEEYS7016"",""WP_215608197.1"")"
globin family protein [Rubidibacter lacunae],Rubidibacter lacunae,NA,582514,57.0,57.0,88%,1e-07,29.32,156,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_022608375.1?report=genbank&log$=prottop&blast_rank=50&RID=V5JEEYS7016"",""WP_022608375.1"")"
globin family protein [Mesobacterium pallidum],Mesobacterium pallidum,NA,2872037,56.6,56.6,78%,2e-07,30.00,137,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_238364209.1?report=genbank&log$=prottop&blast_rank=51&RID=V5JEEYS7016"",""WP_238364209.1"")"
globin domain-containing protein [Albidovulum marisflavi],Albidovulum marisflavi,NA,2984159,56.6,56.6,96%,2e-07,23.97,144,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_263734066.1?report=genbank&log$=prottop&blast_rank=52&RID=V5JEEYS7016"",""WP_263734066.1"")"
globin family protein [Xanthobacter pseudotagetidis],Xanthobacter pseudotagetidis,NA,3119911,56.6,56.6,90%,2e-07,27.74,144,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_394021656.1?report=genbank&log$=prottop&blast_rank=53&RID=V5JEEYS7016"",""WP_394021656.1"")"
globin domain-containing protein [Parashewanella hymeniacidonis],Parashewanella hymeniacidonis,NA,2807618,56.2,56.2,94%,2e-07,26.71,135,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_204999471.1?report=genbank&log$=prottop&blast_rank=54&RID=V5JEEYS7016"",""WP_204999471.1"")"
globin family protein [Mucilaginibacter rivuli],Mucilaginibacter rivuli,NA,2857527,56.6,56.6,93%,2e-07,27.66,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_219486720.1?report=genbank&log$=prottop&blast_rank=55&RID=V5JEEYS7016"",""WP_219486720.1"")"
globin family protein [Reichenbachiella agarivorans],Reichenbachiella agarivorans,NA,2979464,56.6,56.6,99%,2e-07,27.33,153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_262309302.1?report=genbank&log$=prottop&blast_rank=56&RID=V5JEEYS7016"",""WP_262309302.1"")"
MULTISPECIES: globin family protein [Catenovulum],Catenovulum,NA,1172191,56.6,56.6,98%,2e-07,29.80,159,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_016957239.1?report=genbank&log$=prottop&blast_rank=57&RID=V5JEEYS7016"",""WP_016957239.1"")"
globin domain-containing protein [Vogesella amnigena],Vogesella amnigena,NA,1507449,56.2,56.2,96%,2e-07,25.34,142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_390277655.1?report=genbank&log$=prottop&blast_rank=58&RID=V5JEEYS7016"",""WP_390277655.1"")"
globin family protein [Leptolyngbya ectocarpi],Leptolyngbya ectocarpi,NA,1202,58.2,108,86%,2e-07,31.54,327,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_193993782.1?report=genbank&log$=prottop&blast_rank=59&RID=V5JEEYS7016"",""WP_193993782.1"")"
globin family protein [Chitinibacter bivalviorum],Chitinibacter bivalviorum,NA,2739434,56.2,56.2,99%,2e-07,26.49,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_179355989.1?report=genbank&log$=prottop&blast_rank=60&RID=V5JEEYS7016"",""WP_179355989.1"")"
globin family protein [Pelagibius marinus],Pelagibius marinus,NA,2762760,56.2,56.2,95%,3e-07,26.90,144,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_193369900.1?report=genbank&log$=prottop&blast_rank=61&RID=V5JEEYS7016"",""WP_193369900.1"")"
globin family protein [Neorhodopirellula pilleata],Neorhodopirellula pilleata,NA,2714738,55.8,55.8,90%,3e-07,27.01,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_146576467.1?report=genbank&log$=prottop&blast_rank=62&RID=V5JEEYS7016"",""WP_146576467.1"")"
globin family protein [Pseudolabrys taiwanensis],Pseudolabrys taiwanensis,NA,331696,56.2,56.2,95%,3e-07,26.39,146,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_115693526.1?report=genbank&log$=prottop&blast_rank=63&RID=V5JEEYS7016"",""WP_115693526.1"")"
globin family protein [Vasconcelosia minhoensis],Vasconcelosia minhoensis,NA,3366354,55.8,55.8,86%,3e-07,33.85,149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_193905244.1?report=genbank&log$=prottop&blast_rank=64&RID=V5JEEYS7016"",""WP_193905244.1"")"
globin family protein [Algicella marina],Algicella marina,NA,2683284,55.8,55.8,90%,4e-07,28.47,143,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_161862793.1?report=genbank&log$=prottop&blast_rank=65&RID=V5JEEYS7016"",""WP_161862793.1"")"
MULTISPECIES: globin domain-containing protein [Thiorhodovibrio],Thiorhodovibrio,NA,61593,55.5,55.5,88%,4e-07,26.12,135,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_201069095.1?report=genbank&log$=prottop&blast_rank=66&RID=V5JEEYS7016"",""WP_201069095.1"")"
globin family protein [Spirosoma koreense],Spirosoma koreense,NA,1968274,55.5,55.5,93%,4e-07,28.67,144,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_461100297.1?report=genbank&log$=prottop&blast_rank=67&RID=V5JEEYS7016"",""WP_461100297.1"")"
globin family protein [Candidatus Lucifugimonas marina],Candidatus Lucifugimonas marina,NA,3038979,55.5,55.5,97%,4e-07,24.49,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_342823984.1?report=genbank&log$=prottop&blast_rank=68&RID=V5JEEYS7016"",""WP_342823984.1"")"
globin family protein [Roseofilum acuticapitatum],Roseofilum acuticapitatum,NA,3082945,55.5,55.5,86%,4e-07,30.00,143,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_283754267.1?report=genbank&log$=prottop&blast_rank=69&RID=V5JEEYS7016"",""WP_283754267.1"")"
globin family protein [Bradyrhizobium dasycarpae],Bradyrhizobium dasycarpae,NA,3341829,55.5,55.5,97%,4e-07,27.21,142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_375161333.1?report=genbank&log$=prottop&blast_rank=70&RID=V5JEEYS7016"",""WP_375161333.1"")"
globin domain-containing protein [Derxia lacustris],Derxia lacustris,NA,764842,55.5,55.5,90%,4e-07,28.99,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_085314534.1?report=genbank&log$=prottop&blast_rank=71&RID=V5JEEYS7016"",""WP_085314534.1"")"
globin family protein [Hyella patelloides],Hyella patelloides,NA,1982969,57.4,111,88%,5e-07,29.32,353,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_144866489.1?report=genbank&log$=prottop&blast_rank=72&RID=V5JEEYS7016"",""WP_144866489.1"")"
globin domain-containing protein [Symbioplanes lichenis],Symbioplanes lichenis,NA,1629072,57.0,57.0,88%,6e-07,27.07,369,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_305787346.1?report=genbank&log$=prottop&blast_rank=73&RID=V5JEEYS7016"",""WP_305787346.1"")"
globin family protein [Methyloferula stellata],Methyloferula stellata,NA,876270,55.5,55.5,78%,6e-07,28.81,154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_020175176.1?report=genbank&log$=prottop&blast_rank=74&RID=V5JEEYS7016"",""WP_020175176.1"")"
globin family protein [Acaryochloris marina],Acaryochloris marina,NA,155978,55.1,55.1,88%,6e-07,27.82,148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_012160909.1?report=genbank&log$=prottop&blast_rank=75&RID=V5JEEYS7016"",""WP_012160909.1"")"
globin domain-containing protein [Terrimonas pollutisoli],Terrimonas pollutisoli,NA,3034147,55.1,55.1,95%,7e-07,26.53,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_276504620.1?report=genbank&log$=prottop&blast_rank=76&RID=V5JEEYS7016"",""WP_276504620.1"")"
globin family protein [Roseibium porphyridii],Roseibium porphyridii,NA,2866279,54.7,54.7,90%,7e-07,30.43,129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_335343008.1?report=genbank&log$=prottop&blast_rank=77&RID=V5JEEYS7016"",""WP_335343008.1"")"
globin family protein [Roseofilum halophilum],Roseofilum halophilum,NA,3082942,54.7,54.7,89%,8e-07,28.89,143,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_283764296.1?report=genbank&log$=prottop&blast_rank=78&RID=V5JEEYS7016"",""WP_283764296.1"")"
globin family protein [Pelagibius litoralis],Pelagibius litoralis,NA,374515,54.7,54.7,94%,8e-07,28.00,144,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_205944632.1?report=genbank&log$=prottop&blast_rank=79&RID=V5JEEYS7016"",""WP_205944632.1"")"
globin family protein [Reichenbachiella ulvae],Reichenbachiella ulvae,NA,2980104,55.1,55.1,78%,8e-07,26.89,154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_264137098.1?report=genbank&log$=prottop&blast_rank=80&RID=V5JEEYS7016"",""WP_264137098.1"")"
globin family protein [Chamaesiphon polymorphus],Chamaesiphon polymorphus,NA,2107691,54.7,54.7,86%,8e-07,27.07,136,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_245894217.1?report=genbank&log$=prottop&blast_rank=81&RID=V5JEEYS7016"",""WP_245894217.1"")"
globin family protein [Pelagibaculum spongiae],Pelagibaculum spongiae,NA,2080658,54.3,54.3,95%,9e-07,24.83,137,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_116685557.1?report=genbank&log$=prottop&blast_rank=82&RID=V5JEEYS7016"",""WP_116685557.1"")"
globin family protein [Leptolyngbya ectocarpi],Leptolyngbya ectocarpi,NA,1202,54.3,54.3,91%,1e-06,28.06,148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_193994925.1?report=genbank&log$=prottop&blast_rank=83&RID=V5JEEYS7016"",""WP_193994925.1"")"
globin domain-containing protein [Pseudonocardia xinjiangensis],Pseudonocardia xinjiangensis,NA,75289,56.2,56.2,90%,1e-06,23.36,367,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_433283130.1?report=genbank&log$=prottop&blast_rank=84&RID=V5JEEYS7016"",""WP_433283130.1"")"
MULTISPECIES: globin family protein [Crateriforma],Crateriforma,NA,2714592,54.3,54.3,86%,1e-06,27.69,138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_146414500.1?report=genbank&log$=prottop&blast_rank=85&RID=V5JEEYS7016"",""WP_146414500.1"")"
globin family protein [Bradyrhizobium centrosematis],Bradyrhizobium centrosematis,NA,1300039,54.3,54.3,97%,1e-06,27.21,142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_407184547.1?report=genbank&log$=prottop&blast_rank=86&RID=V5JEEYS7016"",""WP_407184547.1"")"
globin family protein [Crateriforma conspicua],Crateriforma conspicua,NA,2527996,53.9,53.9,90%,1e-06,27.01,138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_145296624.1?report=genbank&log$=prottop&blast_rank=87&RID=V5JEEYS7016"",""WP_145296624.1"")"
globin family protein [Stieleria maiorica],Stieleria maiorica,NA,2795974,54.3,54.3,90%,1e-06,27.01,144,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_147867178.1?report=genbank&log$=prottop&blast_rank=88&RID=V5JEEYS7016"",""WP_147867178.1"")"
globin family protein [Stieleria mannarensis],Stieleria mannarensis,NA,2755585,54.3,54.3,90%,1e-06,27.01,144,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_182866936.1?report=genbank&log$=prottop&blast_rank=89&RID=V5JEEYS7016"",""WP_182866936.1"")"
globin family protein [Albimonas marina],Albimonas marina,NA,3032599,54.3,54.3,95%,1e-06,25.69,153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_275763377.1?report=genbank&log$=prottop&blast_rank=90&RID=V5JEEYS7016"",""WP_275763377.1"")"
globin domain-containing protein [Mangrovihabitans endophyticus],Mangrovihabitans endophyticus,NA,1751298,55.8,55.8,86%,1e-06,28.46,368,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_189079839.1?report=genbank&log$=prottop&blast_rank=91&RID=V5JEEYS7016"",""WP_189079839.1"")"
globin family protein [Acaryochloris marina],Acaryochloris marina,NA,155978,55.8,103,95%,2e-06,28.47,338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_012164710.1?report=genbank&log$=prottop&blast_rank=92&RID=V5JEEYS7016"",""WP_012164710.1"")"
